# k P_{11} P_{nw} P_{m,LO}, P_{m,NLO}
7.397200000000000442e-01 1.404499999999999886e+02 1.398143358061613242e+02 1.398143358544132298e+02 7.024402432649189905e+02
7.503600000000000270e-01 1.360399999999999920e+02 1.354271572295397448e+02 1.354271572584695491e+02 6.914919629087008843e+02
7.611599999999999477e-01 1.317599999999999909e+02 1.311685388269310124e+02 1.311685388440515396e+02 6.806589926115017306e+02
7.721099999999999630e-01 1.276099999999999994e+02 1.270396576267372239e+02 1.270396576367204773e+02 6.699528346491090360e+02
7.832200000000000273e-01 1.235900000000000034e+02 1.230339249721774735e+02 1.230339249779775628e+02 6.593650133925181080e+02
7.944900000000000295e-01 1.196899999999999977e+02 1.191487278794234328e+02 1.191487278827375036e+02 6.488970363939647541e+02
8.059199999999999697e-01 1.159099999999999966e+02 1.153814088894182817e+02 1.153814088912891833e+02 6.385502416807153168e+02
8.175099999999999589e-01 1.122399999999999949e+02 1.117292769501186740e+02 1.117292769511473978e+02 6.283258040358271046e+02
8.292800000000000171e-01 1.086800000000000068e+02 1.081837271913927196e+02 1.081837271919520020e+02 6.182077700644749712e+02
8.412100000000000133e-01 1.052199999999999989e+02 1.047484404925895234e+02 1.047484404928820396e+02 6.082148495106163182e+02
8.533100000000000129e-01 1.018799999999999955e+02 1.014179574054242750e+02 1.014179574055793438e+02 5.983396809983370304e+02
8.655899999999999705e-01 9.862999999999999545e+01 9.818729766923884483e+01 9.818729766931778613e+01 5.885755971639237032e+02
8.780400000000000427e-01 9.548300000000000409e+01 9.505683195980357425e+01 9.505683195984322253e+01 5.789318736159319769e+02
8.906800000000000272e-01 9.243200000000000216e+01 9.201940587903887092e+01 9.201940587905852453e+01 5.693944723569297821e+02
9.034900000000000153e-01 8.947400000000000375e+01 8.907767419024997935e+01 8.907767419025945799e+01 5.599797733307573253e+02
9.164900000000000269e-01 8.660599999999999454e+01 8.622486188453422074e+01 8.622486188453871137e+01 5.506741953514847410e+02
9.296799999999999509e-01 8.382699999999999818e+01 8.345906676327911100e+01 8.345906676328120000e+01 5.414792631046757378e+02
9.430500000000000549e-01 8.113400000000000034e+01 8.078031095589777522e+01 8.078031095589872734e+01 5.324030232542535259e+02
9.566200000000000259e-01 7.852400000000000091e+01 7.818262842721370021e+01 7.818262842721412653e+01 5.234330796504111731e+02
9.703899999999999748e-01 7.599399999999999977e+01 7.566430106048149185e+01 7.566430106048167659e+01 5.145709762942756242e+02
9.843499999999999472e-01 7.354200000000000159e+01 7.322528465737337910e+01 7.322528465737346437e+01 5.058242590106063972e+02
9.985100000000000087e-01 7.116599999999999682e+01 7.086194121492275144e+01 7.086194121492277986e+01 4.971876087350999569e+02
1.012899999999999912e+00 6.886400000000000432e+01 6.856781032423165811e+01 6.856781032423167233e+01 4.886444922464509091e+02
